[2017-03-13T16:44:48.181Z, 1026.0]
[2017-03-13T16:44:49.182Z, 1024.0]
[2017-03-13T16:44:50.184Z, 1025.0]
[2017-03-13T16:44:51.183Z, 1025.0]
[2017-03-13T16:44:52.185Z, 1025.0]
[2017-03-13T16:44:53.187Z, 1025.0]
[2017-03-13T16:44:54.186Z, 1026.0]
[2017-03-13T16:44:55.191Z, 1025.0]
[2017-03-13T16:44:56.191Z, 1023.0]
[2017-03-13T16:44:57.191Z, 1024.0]
[2017-03-13T16:44:58.192Z, 1025.0]
[2017-03-13T16:44:59.192Z, 1025.0]
[2017-03-13T16:45:00.192Z, 1026.0]
[2017-03-13T16:45:01.191Z, 1025.0]
[2017-03-13T16:45:02.196Z, 1023.0]
[2017-03-13T16:45:03.196Z, 1021.0]
[2017-03-13T16:45:04.196Z, 1024.0]
[2017-03-13T16:45:05.196Z, 1024.0]
[2017-03-13T16:45:06.195Z, 1026.0]
[2017-03-13T16:45:07.203Z, 1025.0]
[2017-03-13T16:45:08.203Z, 1025.0]
[2017-03-13T16:45:09.203Z, 1026.0]
[2017-03-13T16:45:10.204Z, 1025.0]
[2017-03-13T16:45:11.204Z, 1024.0]
[2017-03-13T16:45:12.203Z, 1028.0]
[2017-03-13T16:45:13.203Z, 1033.0]
[2017-03-13T16:45:14.203Z, 1025.0]
[2017-03-13T16:45:15.204Z, 1024.0]
[2017-03-13T16:45:16.203Z, 1026.0]
[2017-03-13T16:45:17.206Z, 1025.0]
[2017-03-13T16:45:18.207Z, 1024.0]
[2017-03-13T16:45:19.206Z, 1023.0]
[2017-03-13T16:45:20.211Z, 1024.0]
[2017-03-13T16:45:21.21Z, 1023.0]
[2017-03-13T16:45:22.209Z, 1023.0]
[2017-03-13T16:45:23.21Z, 1023.0]
[2017-03-13T16:45:24.217Z, 1024.0]
[2017-03-13T16:45:25.215Z, 1024.0]
[2017-03-13T16:45:26.215Z, 1027.0]
[2017-03-13T16:45:27.213Z, 1025.0]
[2017-03-13T16:45:28.214Z, 1025.0]
[2017-03-13T16:45:29.214Z, 1024.0]
[2017-03-13T16:45:30.219Z, 1026.0]
[2017-03-13T16:45:31.218Z, 1025.0]
[2017-03-13T16:45:32.219Z, 1024.0]
[2017-03-13T16:45:33.218Z, 1023.0]
[2017-03-13T16:45:34.223Z, 1023.0]
[2017-03-13T16:45:35.223Z, 1025.0]
[2017-03-13T16:45:36.222Z, 1025.0]
[2017-03-13T16:45:37.221Z, 1025.0]
[2017-03-13T16:45:38.222Z, 1026.0]
[2017-03-13T16:45:39.226Z, 1025.0]
[2017-03-13T16:45:40.225Z, 1026.0]
[2017-03-13T16:45:41.224Z, 1026.0]
[2017-03-13T16:45:42.229Z, 1025.0]
[2017-03-13T16:45:43.228Z, 1025.0]
[2017-03-13T16:45:44.227Z, 1023.0]
[2017-03-13T16:45:45.227Z, 1024.0]
[2017-03-13T16:45:46.228Z, 1024.0]
[2017-03-13T16:45:47.228Z, 1025.0]
[2017-03-13T16:45:48.229Z, 1025.0]
[2017-03-13T16:45:49.234Z, 1026.0]
[2017-03-13T16:45:50.234Z, 1025.0]
[2017-03-13T16:45:51.233Z, 1026.0]
[2017-03-13T16:45:52.234Z, 1025.0]
[2017-03-13T16:45:53.234Z, 1025.0]
[2017-03-13T16:45:54.234Z, 1026.0]
[2017-03-13T16:45:55.239Z, 1023.0]
[2017-03-13T16:45:56.238Z, 1025.0]
[2017-03-13T16:45:57.238Z, 1025.0]
[2017-03-13T16:45:58.238Z, 1023.0]
[2017-03-13T16:45:59.243Z, 1022.0]
[2017-03-13T16:46:00.244Z, 1023.0]
[2017-03-13T16:46:01.244Z, 1023.0]
[2017-03-13T16:46:02.247Z, 1023.0]
[2017-03-13T16:46:03.247Z, 1023.0]
[2017-03-13T16:46:04.246Z, 1021.0]
[2017-03-13T16:46:05.246Z, 1023.0]
[2017-03-13T16:46:06.243Z, 1023.0]
[2017-03-13T16:46:07.249Z, 1023.0]
[2017-03-13T16:46:08.249Z, 1023.0]
[2017-03-13T16:46:09.248Z, 1024.0]
[2017-03-13T16:46:10.247Z, 1024.0]
[2017-03-13T16:46:11.247Z, 1025.0]
[2017-03-13T16:46:12.252Z, 1024.0]
[2017-03-13T16:46:13.258Z, 1023.0]
[2017-03-13T16:46:14.251Z, 1024.0]
[2017-03-13T16:46:15.251Z, 1025.0]
[2017-03-13T16:46:16.254Z, 1024.0]
[2017-03-13T16:46:17.26Z, 1024.0]
[2017-03-13T16:46:18.254Z, 1024.0]
[2017-03-13T16:46:19.254Z, 1022.0]
[2017-03-13T16:46:20.258Z, 1021.0]
[2017-03-13T16:46:21.259Z, 1024.0]
[2017-03-13T16:46:22.258Z, 1024.0]
[2017-03-13T16:46:23.258Z, 1023.0]
[2017-03-13T16:46:24.257Z, 1025.0]
[2017-03-13T16:46:25.259Z, 1024.0]
[2017-03-13T16:46:26.259Z, 1021.0]
[2017-03-13T16:46:27.264Z, 1023.0]
[2017-03-13T16:46:28.263Z, 1025.0]
[2017-03-13T16:46:29.268Z, 1025.0]
